LineId,Content,EventId,EventTemplate,ContentWithHeader,EventTemplateWithHeader
30,Parsing conf: /home/team7/HiBench3/conf/hadoop.conf,s9,Parsing conf: <*>,Parsing conf: /home/team7/HiBench3/conf/hadoop.conf,patching args=<*>
31,Parsing conf: /home/team7/HiBench3/conf/hibench.conf,s9,Parsing conf: <*>,Parsing conf: /home/team7/HiBench3/conf/hibench.conf,Parsing conf: <*>
32,Parsing conf: /home/team7/HiBench3/conf/spark.conf,s9,Parsing conf: <*>,Parsing conf: /home/team7/HiBench3/conf/spark.conf,Parsing conf: <*>
33,Parsing conf: /home/team7/HiBench3/conf/workloads/micro/terasort.conf,s9,Parsing conf: <*>,Parsing conf: /home/team7/HiBench3/conf/workloads/micro/terasort.conf,Parsing conf: <*>
34,probe sleep jar: /usr/hdp/3.0.1.0-187/hadoop/../hadoop-mapreduce/hadoop-mapreduce-client-jobclient-tests.jar,s10,probe sleep jar: <*>,probe sleep jar: /usr/hdp/3.0.1.0-187/hadoop/../hadoop-mapreduce/hadoop-mapreduce-client-jobclient-tests.jar,probe sleep jar: <*>
35,start HadoopPrepareTerasort bench,s13,start <*> bench,start HadoopPrepareTerasort bench,start <*> bench
36,hdfs rm -r: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop fs -rm -r -skipTrash hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Input,s14,hdfs rm -r: <*> --config <*> fs -rm -r -skipTrash <*>,hdfs rm -r: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop fs -rm -r -skipTrash hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Input,hdfs rm -r: <*> --config <*> fs -rm -r -skipTrash <*>
37,Deleted hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Input,s15,Deleted <*>,Deleted hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Input,Deleted <*>
38,Submit MapReduce Job: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop jar /usr/hdp/3.0.1.0-187/hadoop/../hadoop-mapreduce/hadoop-mapreduce-examples.jar teragen -D mapreduce.job.maps=3 -D mapreduce.job.reduces=1 -D mapreduce.job.queuename=team7 128000 hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Input,s87,Submit MapReduce Job: <*> --config <*> jar <*> teragen -D mapreduce.job.maps=<*> -D mapreduce.job.reduces=<*> -D mapreduce.job.queuename=<*> <*>,Submit MapReduce Job: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop jar /usr/hdp/3.0.1.0-187/hadoop/../hadoop-mapreduce/hadoop-mapreduce-examples.jar teragen -D mapreduce.job.maps=3 -D mapreduce.job.reduces=1 -D mapreduce.job.queuename=team7 128000 hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Input,Submit MapReduce Job: <*> --config <*> jar <*> teragen -D mapreduce.job.maps=<*> -D mapreduce.job.reduces=<*> -D mapreduce.job.queuename=<*> <*>
39,Connecting to Application History server at manager.cuhk.com/10.26.10.201:10200,s17,Connecting to Application History server at <*>,22/11/20 17:51:32 INFO client.AHSProxy: Connecting to Application History server at manager.cuhk.com/10.26.10.201:10200,<*> INFO <*>: Connecting to Application History server at <*>
40,"Created token for team7: HDFS_DELEGATION_TOKEN owner=team7@BIGDATA, renewer=yarn, realUser=, issueDate=1668938101819, maxDate=1669542901819, sequenceNumber=8531678, masterKeyId=1042 on ha-hdfs:cuhkcluster",s18,"Created token for <*>: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*> on <*>","22/11/20 17:51:32 INFO hdfs.DFSClient: Created token for team7: HDFS_DELEGATION_TOKEN owner=team7@BIGDATA, renewer=yarn, realUser=, issueDate=1668938101819, maxDate=1669542901819, sequenceNumber=8531678, masterKeyId=1042 on ha-hdfs:cuhkcluster","<*> INFO <*>: Created token for <*>: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*> on <*>"
41,"Getting new token from http://manager.cuhk.com:9292/kms/v1/, renewer:rm/master1.cuhk.com@BIGDATA",s19,Getting new token from <*> renewer:<*>,"22/11/20 17:51:32 INFO kms.KMSClientProvider: Getting new token from http://manager.cuhk.com:9292/kms/v1/, renewer:rm/master1.cuhk.com@BIGDATA",<*> INFO <*>: Getting new token from <*> renewer:<*>
42,"New token received: (Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team7, renewer=yarn, realUser=, issueDate=1668938101908, maxDate=1669542901908, sequenceNumber=78281, masterKeyId=652))",s21,"New token received: (Kind: <*> Service: <*> Ident: (kms-dt owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>))","22/11/20 17:51:32 INFO kms.KMSClientProvider: New token received: (Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team7, renewer=yarn, realUser=, issueDate=1668938101908, maxDate=1669542901908, sequenceNumber=78281, masterKeyId=652))","<*> INFO <*>: New token received: (Kind: <*> Service: <*> Ident: (kms-dt owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>))"
43,"Got dt for hdfs://cuhkcluster; Kind: HDFS_DELEGATION_TOKEN, Service: ha-hdfs:cuhkcluster, Ident: (token for team7: HDFS_DELEGATION_TOKEN owner=team7@BIGDATA, renewer=yarn, realUser=, issueDate=1668938101819, maxDate=1669542901819, sequenceNumber=8531678, masterKeyId=1042)",s89,"Got dt for <*>; Kind: <*> Service: <*> Ident: (token for team7: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>)","22/11/20 17:51:32 INFO security.TokenCache: Got dt for hdfs://cuhkcluster; Kind: HDFS_DELEGATION_TOKEN, Service: ha-hdfs:cuhkcluster, Ident: (token for team7: HDFS_DELEGATION_TOKEN owner=team7@BIGDATA, renewer=yarn, realUser=, issueDate=1668938101819, maxDate=1669542901819, sequenceNumber=8531678, masterKeyId=1042)","<*> INFO <*>: Got dt for <*>; Kind: <*> Service: <*> Ident: (token for team7: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>)"
44,"Got dt for hdfs://cuhkcluster; Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team7, renewer=yarn, realUser=, issueDate=1668938101908, maxDate=1669542901908, sequenceNumber=78281, masterKeyId=652)",s22,"Got dt for <*>; Kind: <*> Service: <*> Ident: (<*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>)","22/11/20 17:51:32 INFO security.TokenCache: Got dt for hdfs://cuhkcluster; Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team7, renewer=yarn, realUser=, issueDate=1668938101908, maxDate=1669542901908, sequenceNumber=78281, masterKeyId=652)","<*> INFO <*>: Got dt for <*>; Kind: <*> Service: <*> Ident: (<*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>)"
45,Disabling Erasure Coding for path: /user/team7/.staging/job_1668496639954_6827,s23,Disabling Erasure Coding for path: <*>,22/11/20 17:51:33 INFO mapreduce.JobResourceUploader: Disabling Erasure Coding for path: /user/team7/.staging/job_1668496639954_6827,<*> INFO <*>: Disabling Erasure Coding for path: <*>
46,Generating 128000 using 3,s24,Generating <*> using <*>,22/11/20 17:51:33 INFO terasort.TeraGen: Generating 128000 using 3,<*> INFO <*>: Generating <*> using <*>
47,number of splits:3,s25,number of splits:<*>,22/11/20 17:51:33 INFO mapreduce.JobSubmitter: number of splits:3,<*> INFO <*>: number of splits:<*>
48,Submitting tokens for job: job_1668496639954_6827,s26,Submitting tokens for job: <*>,22/11/20 17:51:33 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1668496639954_6827,<*> INFO <*>: Submitting tokens for job: <*>
49,"Executing with tokens: [Kind: HDFS_DELEGATION_TOKEN, Service: ha-hdfs:cuhkcluster, Ident: (token for team7: HDFS_DELEGATION_TOKEN owner=team7@BIGDATA, renewer=yarn, realUser=, issueDate=1668938101819, maxDate=1669542901819, sequenceNumber=8531678, masterKeyId=1042), Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team7, renewer=yarn, realUser=, issueDate=1668938101908, maxDate=1669542901908, sequenceNumber=78281, masterKeyId=652)]",s27,"Executing with tokens: [Kind: <*> Service: <*> Ident: (token for team7: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>), Kind: kms-dt, Service: <*> Ident: (kms-dt owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>)]","22/11/20 17:51:33 INFO mapreduce.JobSubmitter: Executing with tokens: [Kind: HDFS_DELEGATION_TOKEN, Service: ha-hdfs:cuhkcluster, Ident: (token for team7: HDFS_DELEGATION_TOKEN owner=team7@BIGDATA, renewer=yarn, realUser=, issueDate=1668938101819, maxDate=1669542901819, sequenceNumber=8531678, masterKeyId=1042), Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team7, renewer=yarn, realUser=, issueDate=1668938101908, maxDate=1669542901908, sequenceNumber=78281, masterKeyId=652)]","<*> INFO <*>: Executing with tokens: [Kind: <*> Service: <*> Ident: (token for team7: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>), Kind: kms-dt, Service: <*> Ident: (kms-dt owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>)]"
50,found resource resource-types.xml at file:/usr/hdp/3.0.1.0-187/hadoop/etc/hadoop/resource-types.xml,s28,found resource <*> at <*>,22/11/20 17:51:33 INFO conf.Configuration: found resource resource-types.xml at file:/usr/hdp/3.0.1.0-187/hadoop/etc/hadoop/resource-types.xml,<*> INFO <*>: found resource <*> at <*>
51,Timeline service address: manager.cuhk.com:8188,s29,Timeline service address: <*>,22/11/20 17:51:33 INFO impl.TimelineClientImpl: Timeline service address: manager.cuhk.com:8188,<*> INFO <*>: Timeline service address: <*>
52,Submitted application application_1668496639954_6827,s30,Submitted application <*>,22/11/20 17:51:34 INFO impl.YarnClientImpl: Submitted application application_1668496639954_6827,<*> INFO <*>: Submitted application <*>
53,The url to track the job: http://master1.cuhk.com:8088/proxy/application_1668496639954_6827/,s31,The url to track the job: <*>,22/11/20 17:51:34 INFO mapreduce.Job: The url to track the job: http://master1.cuhk.com:8088/proxy/application_1668496639954_6827/,<*> INFO <*>: The url to track the job: <*>
54,Running job: job_1668496639954_6827,s32,Running job: <*>,22/11/20 17:51:34 INFO mapreduce.Job: Running job: job_1668496639954_6827,<*> INFO <*>: Running job: <*>
55,Job job_1668496639954_6827 running in uber mode : false,s33,Job <*> running in uber mode : <*>,22/11/20 17:51:42 INFO mapreduce.Job: Job job_1668496639954_6827 running in uber mode : false,<*> INFO <*>: Job <*> running in uber mode : <*>
56,map 0% reduce 0%,s34,map <*> reduce <*>,22/11/20 17:51:42 INFO mapreduce.Job:  map 0% reduce 0%,<*> INFO <*>: map <*> reduce <*>
57,map 67% reduce 0%,s34,map <*> reduce <*>,22/11/20 17:51:49 INFO mapreduce.Job:  map 67% reduce 0%,<*> INFO <*>: map <*> reduce <*>
58,map 100% reduce 0%,s34,map <*> reduce <*>,22/11/20 17:51:55 INFO mapreduce.Job:  map 100% reduce 0%,<*> INFO <*>: map <*> reduce <*>
59,Job job_1668496639954_6827 completed successfully,s35,Job <*> completed successfully,22/11/20 17:51:58 INFO mapreduce.Job: Job job_1668496639954_6827 completed successfully,<*> INFO <*>: Job <*> completed successfully
60,finish HadoopPrepareTerasort bench,s36,finish <*> bench,finish HadoopPrepareTerasort bench,finish <*> bench
61,Start changing mapper and reducer ...,s37,Start changing mapper and reducer ...,Start changing mapper and reducer ...,Start changing mapper and reducer ...
62,"====================Start execute hibench datasize: tiny, mapper: 1, reducer: 1 ======================",s38,====================Start execute hibench datasize: <*> mapper: <*> reducer: <*> ======================,"====================Start execute hibench datasize: tiny, mapper: 1, reducer: 1 ======================",====================Start execute hibench datasize: <*> mapper: <*> reducer: <*> ======================
63,Running terasort test ...,s39,Running <*> test ...,Running terasort test ...,Running <*> test ...
64,patching args=,s8,patching args=<*>,patching args=,patching args=<*>
65,Parsing conf: /home/team7/HiBench3/conf/hadoop.conf,s9,Parsing conf: <*>,Parsing conf: /home/team7/HiBench3/conf/hadoop.conf,patching args=<*>
66,Parsing conf: /home/team7/HiBench3/conf/hibench.conf,s9,Parsing conf: <*>,Parsing conf: /home/team7/HiBench3/conf/hibench.conf,Parsing conf: <*>
67,Parsing conf: /home/team7/HiBench3/conf/spark.conf,s9,Parsing conf: <*>,Parsing conf: /home/team7/HiBench3/conf/spark.conf,Parsing conf: <*>
68,Parsing conf: /home/team7/HiBench3/conf/workloads/micro/terasort.conf,s9,Parsing conf: <*>,Parsing conf: /home/team7/HiBench3/conf/workloads/micro/terasort.conf,Parsing conf: <*>
69,probe sleep jar: /usr/hdp/3.0.1.0-187/hadoop/../hadoop-mapreduce/hadoop-mapreduce-client-jobclient-tests.jar,s10,probe sleep jar: <*>,probe sleep jar: /usr/hdp/3.0.1.0-187/hadoop/../hadoop-mapreduce/hadoop-mapreduce-client-jobclient-tests.jar,probe sleep jar: <*>
70,start HadoopTerasort bench,s13,start <*> bench,start HadoopTerasort bench,start <*> bench
71,hdfs rm -r: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop fs -rm -r -skipTrash hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Output,s14,hdfs rm -r: <*> --config <*> fs -rm -r -skipTrash <*>,hdfs rm -r: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop fs -rm -r -skipTrash hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Output,hdfs rm -r: <*> --config <*> fs -rm -r -skipTrash <*>
72,Deleted hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Output,s15,Deleted <*>,Deleted hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Output,Deleted <*>
73,hdfs du -s: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop fs -du -s hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Input,s40,hdfs du -s: <*> --config <*> fs -du -s <*>,hdfs du -s: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop fs -du -s hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Input,hdfs du -s: <*> --config <*> fs -du -s <*>
74,Submit MapReduce Job: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop jar /usr/hdp/3.0.1.0-187/hadoop/../hadoop-mapreduce/hadoop-mapreduce-examples.jar terasort -D mapreduce.job.reduces=1 -D mapreduce.job.queuename=team7 hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Input hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Output,s85,Submit MapReduce Job: <*> --config <*> jar <*> terasort -D mapreduce.job.reduces=<*> -D mapreduce.job.queuename=<*> <*>,Submit MapReduce Job: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop jar /usr/hdp/3.0.1.0-187/hadoop/../hadoop-mapreduce/hadoop-mapreduce-examples.jar terasort -D mapreduce.job.reduces=1 -D mapreduce.job.queuename=team7 hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Input hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Output,Submit MapReduce Job: <*> --config <*> jar <*> terasort -D mapreduce.job.reduces=<*> -D mapreduce.job.queuename=<*> <*>
75,starting,s41,starting,22/11/20 17:52:09 INFO terasort.TeraSort: starting,<*> INFO <*>: starting
76,"Created token for team7: HDFS_DELEGATION_TOKEN owner=team7@BIGDATA, renewer=yarn, realUser=, issueDate=1668938139140, maxDate=1669542939140, sequenceNumber=8531685, masterKeyId=1042 on ha-hdfs:cuhkcluster",s18,"Created token for <*>: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*> on <*>","22/11/20 17:52:10 INFO hdfs.DFSClient: Created token for team7: HDFS_DELEGATION_TOKEN owner=team7@BIGDATA, renewer=yarn, realUser=, issueDate=1668938139140, maxDate=1669542939140, sequenceNumber=8531685, masterKeyId=1042 on ha-hdfs:cuhkcluster","<*> INFO <*>: Created token for <*>: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*> on <*>"
77,"Getting new token from http://manager.cuhk.com:9292/kms/v1/, renewer:rm/master1.cuhk.com@BIGDATA",s19,Getting new token from <*> renewer:<*>,"22/11/20 17:52:10 INFO kms.KMSClientProvider: Getting new token from http://manager.cuhk.com:9292/kms/v1/, renewer:rm/master1.cuhk.com@BIGDATA",<*> INFO <*>: Getting new token from <*> renewer:<*>
78,"New token received: (Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team7, renewer=yarn, realUser=, issueDate=1668938139216, maxDate=1669542939216, sequenceNumber=78283, masterKeyId=653))",s21,"New token received: (Kind: <*> Service: <*> Ident: (kms-dt owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>))","22/11/20 17:52:10 INFO kms.KMSClientProvider: New token received: (Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team7, renewer=yarn, realUser=, issueDate=1668938139216, maxDate=1669542939216, sequenceNumber=78283, masterKeyId=653))","<*> INFO <*>: New token received: (Kind: <*> Service: <*> Ident: (kms-dt owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>))"
79,"Got dt for hdfs://cuhkcluster; Kind: HDFS_DELEGATION_TOKEN, Service: ha-hdfs:cuhkcluster, Ident: (token for team7: HDFS_DELEGATION_TOKEN owner=team7@BIGDATA, renewer=yarn, realUser=, issueDate=1668938139140, maxDate=1669542939140, sequenceNumber=8531685, masterKeyId=1042)",s89,"Got dt for <*>; Kind: <*> Service: <*> Ident: (token for team7: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>)","22/11/20 17:52:10 INFO security.TokenCache: Got dt for hdfs://cuhkcluster; Kind: HDFS_DELEGATION_TOKEN, Service: ha-hdfs:cuhkcluster, Ident: (token for team7: HDFS_DELEGATION_TOKEN owner=team7@BIGDATA, renewer=yarn, realUser=, issueDate=1668938139140, maxDate=1669542939140, sequenceNumber=8531685, masterKeyId=1042)","<*> INFO <*>: Got dt for <*>; Kind: <*> Service: <*> Ident: (token for team7: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>)"
80,"Got dt for hdfs://cuhkcluster; Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team7, renewer=yarn, realUser=, issueDate=1668938139216, maxDate=1669542939216, sequenceNumber=78283, masterKeyId=653)",s22,"Got dt for <*>; Kind: <*> Service: <*> Ident: (<*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>)","22/11/20 17:52:10 INFO security.TokenCache: Got dt for hdfs://cuhkcluster; Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team7, renewer=yarn, realUser=, issueDate=1668938139216, maxDate=1669542939216, sequenceNumber=78283, masterKeyId=653)","<*> INFO <*>: Got dt for <*>; Kind: <*> Service: <*> Ident: (<*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>)"
81,Total input files to process : 3,s17,Total input files to process : <*>,22/11/20 17:52:10 INFO input.FileInputFormat: Total input files to process : 3,<*> INFO <*>: Total input files to process : <*>
82,Spent 520ms computing base-splits.,s43,Spent <*> computing base-splits.,Spent 520ms computing base-splits.,Spent <*> computing base-splits.
83,Spent 2ms computing TeraScheduler splits.,s44,Spent <*> computing TeraScheduler splits.,Spent 2ms computing TeraScheduler splits.,Spent <*> computing TeraScheduler splits.
84,Computing input splits took 523ms,s45,Computing input splits took <*>,Computing input splits took 523ms,Computing input splits took <*>
85,Sampling 3 splits of 3,s46,Sampling <*> splits of <*>,Sampling 3 splits of 3,Sampling <*> splits of <*>
86,Making 1 from 99999 sampled records,s47,Making <*> from <*> sampled records,Making 1 from 99999 sampled records,Making <*> from <*> sampled records
87,Computing parititions took 371ms,s48,Computing parititions took <*>,Computing parititions took 371ms,Computing parititions took <*>
88,Spent 896ms computing partitions.,s49,Spent <*> computing partitions.,Spent 896ms computing partitions.,Spent <*> computing partitions.
89,Connecting to Application History server at manager.cuhk.com/10.26.10.201:10200,s17,Connecting to Application History server at <*>,22/11/20 17:52:10 INFO client.AHSProxy: Connecting to Application History server at manager.cuhk.com/10.26.10.201:10200,<*> INFO <*>: Connecting to Application History server at <*>
90,Disabling Erasure Coding for path: /user/team7/.staging/job_1668496639954_6829,s23,Disabling Erasure Coding for path: <*>,22/11/20 17:52:11 INFO mapreduce.JobResourceUploader: Disabling Erasure Coding for path: /user/team7/.staging/job_1668496639954_6829,<*> INFO <*>: Disabling Erasure Coding for path: <*>
91,number of splits:3,s25,number of splits:<*>,22/11/20 17:52:11 INFO mapreduce.JobSubmitter: number of splits:3,<*> INFO <*>: number of splits:<*>
92,Submitting tokens for job: job_1668496639954_6829,s26,Submitting tokens for job: <*>,22/11/20 17:52:11 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1668496639954_6829,<*> INFO <*>: Submitting tokens for job: <*>
