LineId,Content,EventId,EventTemplate
61,"Response status code is 500, expected is 200, path is /url11, method is get",E51,Response status code is <*> expected is <*> path is <*> method is get
62,get system instance info from db catch a service exception,E172,get system instance info from db catch a service exception
63,"Response status code is 500, expected is 200, path is /url113, method is get",E51,Response status code is <*> expected is <*> path is <*> method is get
64,get system instance info from db catch a service exception,E172,get system instance info from db catch a service exception
65,"Response status code is 500, expected is 200, path is /url113, method is get",E51,Response status code is <*> expected is <*> path is <*> method is get
66,get system instance info from db catch a service exception,E172,get system instance info from db catch a service exception
67,"Response status code is 500, expected is 200, path is /url, method is get",E51,Response status code is <*> expected is <*> path is <*> method is get
68,get system instance info from db catch a service exception,E172,get system instance info from db catch a service exception
69,"Response status code is 500, expected is 200, path is /url11, method is get",E51,Response status code is <*> expected is <*> path is <*> method is get
70,get system instance info from db catch a service exception,E172,get system instance info from db catch a service exception
71,"Response status code is 500, expected is 200, path is /url11, method is get",E51,Response status code is <*> expected is <*> path is <*> method is get
72,get system instance info from db catch a service exception,E172,get system instance info from db catch a service exception
73,step into upload node operation,E222,step into upload node operation
74,log4jRefreshInterval config format error.,E378,log4jRefreshInterval config format error.
75,"logpath=/path, processname=service-3-0",E87,"logpath=<*>, processname=<*>"
76,enter setMqSourceConfigs,E156,enter setMqSourceConfigs
77,set executorService to null,E436,set executorService to null
78,cannot get topicInfo for consumer by topic: topic,E178,cannot get topicInfo for consumer by topic: <*>
79,"get clusterIp failed when create consumer, return null",E40,"get clusterIp failed when create consumer, return null"
80,create consumer failed!,E237,create consumer failed!
81,"cannot subscribe topic, due to {} Exception: create consumer failed!",E450,"cannot subscribe topic, due to <*> Exception: create consumer failed!"
82,appBaseHome is : /path,E35,appBaseHome is : <*>
83,Start init spring,E451,Start init spring
84,AppInstanceSharePath is: /path,E2,AppInstanceSharePath is: <*>
85,frameworkSpring is: /path/,E130,frameworkSpring is: <*>
86,Init spring from files app: 12,E299,Init spring from files app: <*>
87,enter setMqSourceConfigs,E156,enter setMqSourceConfigs
88,set executorService to null,E436,set executorService to null
89,cannot get topicInfo for consumer by topic: resource,E178,cannot get topicInfo for consumer by topic: <*>
90,"get clusterIp failed when create consumer, return null",E40,"get clusterIp failed when create consumer, return null"
91,create consumer failed!,E237,create consumer failed!
92,"cannot subscribe topic, due to {} Exception: create consumer failed!",E450,"cannot subscribe topic, due to <*> Exception: create consumer failed!"
93,"""GET /url HTTP/1.1"" 200 25 RouteID-service-5-0-230209170034-3298",E416,"""GET <*> HTTP/1.<*>"" <*>"
94,can not find cts handler for: /url99,E244,can not find cts handler for: <*>
95,"""GET /url90 HTTP/1.1"" 200 196 RouteID-service-2-0-230209170034-4041",E416,"""GET <*> HTTP/1.<*>"" <*>"
96,"un handle exception e={} Exception: \n### Error updating database. Cause: Exception: [errorCode=00500, SQLState='S1009', reason='Sql cannot be null or empty.', clientIP=127.0.0.1.]\n\n### The error may exist in file [/Mapper.xml]\n### The error may involve Dao.batchSave\n### The error occurred while executing an update\n### SQL: \n### Cause: Exception: [errorCode=00500, SQLState='S1009', reason='Sql cannot be null or empty.', clientIP=127.0.0.1.]\n\n; [errorCode=00500, SQLState='S1009', reason='Sql cannot be null or empty.', clientIP=127.0.0.1.]\n; nested exception is Exception: [errorCode=00500, SQLState='S1009', reason='Sql cannot be null or empty.', clientIP=127.0.0.1.]\n",E173,"un handle exception e=<*> Exception: \n### Error updating database. Cause: Exception: [errorCode=<*>, SQLState='<*>', reason='<*> cannot be null or empty.', clientIP=<*>.]\n\n### The error may exist in file [<*>.xml]\n### The error may involve Dao.batchSave\n### The error occurred while executing an update\n### SQL: \n### Cause: Exception: [errorCode=<*>, SQLState='<*>', reason='<*> cannot be null or empty.', clientIP=<*>.]\n\n; [errorCode=<*>, SQLState='<*>', reason='<*> cannot be null or empty.', clientIP=<*>.]\n; nested exception is Exception: [errorCode=<*>, SQLState='<*>', reason='<*> cannot be null or empty.', clientIP=<*>.]\n"
97,"Caused by: Exception: [errorCode=00500, SQLState='S1009', reason='Sql cannot be null or empty.', clientIP=127.0.0.1.]\n",E169,"Caused by: Exception: [errorCode=<*>, SQLState='<*>', reason='<*>', clientIP=<*>.]\n"
98,"Send Msg-->: to 127.0.0.1:2222, path:/trace, method:POST, RequestId:RouteID-iamcore-2-0-230209170035-209",E101,"Send Msg-->: to <*> path:<*>, method:POST, RequestId:<*>"
99,"""DELETE /a98782931d3f4b30a350285acdc22a4a HTTP/1.1"" 400 86 RouteID-service-2-0-230209170035-4043",E164,"""DELETE <*> HTTP/1.<*>"" <*>"
100,"un handle exception e={} Exception: \n### Error updating database. Cause: Exception: [errorCode=00500, SQLState='S1009', reason='Sql cannot be null or empty.', clientIP=127.0.0.1.]\n\n### The error may exist in file [/Mapper.xml]\n### The error may involve Dao.batchSave\n### The error occurred while executing an update\n### SQL: \n### Cause: Exception: [errorCode=00500, SQLState='S1009', reason='Sql cannot be null or empty.', clientIP=127.0.0.1.]\n\n; [errorCode=00500, SQLState='S1009', reason='Sql cannot be null or empty.', clientIP=127.0.0.1.]\n; nested exception is Exception: [errorCode=00500, SQLState='S1009', reason='Sql cannot be null or empty.', clientIP=127.0.0.1.]\n",E173,"un handle exception e=<*> Exception: \n### Error updating database. Cause: Exception: [errorCode=<*>, SQLState='<*>', reason='<*> cannot be null or empty.', clientIP=<*>.]\n\n### The error may exist in file [<*>.xml]\n### The error may involve Dao.batchSave\n### The error occurred while executing an update\n### SQL: \n### Cause: Exception: [errorCode=<*>, SQLState='<*>', reason='<*> cannot be null or empty.', clientIP=<*>.]\n\n; [errorCode=<*>, SQLState='<*>', reason='<*> cannot be null or empty.', clientIP=<*>.]\n; nested exception is Exception: [errorCode=<*>, SQLState='<*>', reason='<*> cannot be null or empty.', clientIP=<*>.]\n"
101,"Caused by: Exception: [errorCode=00500, SQLState='S1009', reason='Sql cannot be null or empty.', clientIP=127.0.0.1.]\n",E169,"Caused by: Exception: [errorCode=<*>, SQLState='<*>', reason='<*>', clientIP=<*>.]\n"
102,"Send Msg-->: to 127.0.0.1:2222, path:/trace, method:POST, RequestId:RouteID-iamcore-2-0-230209170035-210",E101,"Send Msg-->: to <*> path:<*>, method:POST, RequestId:<*>"
103,"""DELETE /cec047d3f1ef47b1adac6929f87adff5 HTTP/1.1"" 400 86 RouteID-service-2-0-230209170035-4046",E164,"""DELETE <*> HTTP/1.<*>"" <*>"
104,received response for null,E66,received response for <*>
105,"un handle exception e={} Exception: \n### Error updating database. Cause: Exception: [errorCode=00500, SQLState='S1009', reason='Sql cannot be null or empty.', clientIP=127.0.0.1.]\n\n### The error may exist in file [/Mapper.xml]\n### The error may involve Dao.batchSave\n### The error occurred while executing an update\n### SQL: \n### Cause: Exception: [errorCode=00500, SQLState='S1009', reason='Sql cannot be null or empty.', clientIP=127.0.0.1.]\n\n; [errorCode=00500, SQLState='S1009', reason='Sql cannot be null or empty.', clientIP=127.0.0.1.]\n; nested exception is Exception: [errorCode=00500, SQLState='S1009', reason='Sql cannot be null or empty.', clientIP=127.0.0.1.]\n",E173,"un handle exception e=<*> Exception: \n### Error updating database. Cause: Exception: [errorCode=<*>, SQLState='<*>', reason='<*> cannot be null or empty.', clientIP=<*>.]\n\n### The error may exist in file [<*>.xml]\n### The error may involve Dao.batchSave\n### The error occurred while executing an update\n### SQL: \n### Cause: Exception: [errorCode=<*>, SQLState='<*>', reason='<*> cannot be null or empty.', clientIP=<*>.]\n\n; [errorCode=<*>, SQLState='<*>', reason='<*> cannot be null or empty.', clientIP=<*>.]\n; nested exception is Exception: [errorCode=<*>, SQLState='<*>', reason='<*> cannot be null or empty.', clientIP=<*>.]\n"
106,"Caused by: Exception: [errorCode=00500, SQLState='S1009', reason='Sql cannot be null or empty.', clientIP=127.0.0.1.]\n",E169,"Caused by: Exception: [errorCode=<*>, SQLState='<*>', reason='<*>', clientIP=<*>.]\n"
107,"Send Msg-->: to 127.0.0.1:2222, path:/trace, method:POST, RequestId:RouteID-iamcore-2-0-230209170036-211",E101,"Send Msg-->: to <*> path:<*>, method:POST, RequestId:<*>"
108,"""DELETE /20c9329f25e64d5ebcc2fdf8f6151754 HTTP/1.1"" 400 86 RouteID-service-2-0-230209170035-4049",E164,"""DELETE <*> HTTP/1.<*>"" <*>"
109,can not find cts handler for: /url-u,E244,can not find cts handler for: <*>
110,"""GET /url-t HTTP/1.1"" 200 22 RouteID-service-5-0-230209170036-3301",E416,"""GET <*> HTTP/1.<*>"" <*>"
111,no GM hash,E308,no GM hash
112,received response for null,E66,received response for <*>
113,"Send Msg-->: to 127.0.0.1:2222, path:/trace, method:POST, RequestId:RouteID-iamcore-2-0-230209170036-212",E101,"Send Msg-->: to <*> path:<*>, method:POST, RequestId:<*>"
114,"""POST /users HTTP/1.1"" 201 360 RouteID-service-5-0-230209170036-3303",E185,"""POST <*> HTTP/1.<*>"" <*>"
115,received response for null,E66,received response for <*>
116,"""GET /core/v3 HTTP/1.1"" 200 226 -",E416,"""GET <*> HTTP/1.<*>"" <*>"
117,received response for null,E66,received response for <*>
118,"""GET /etag/143253 HTTP/1.1"" 200 78 RouteID-service-2-0-230209170036-4051",E416,"""GET <*> HTTP/1.<*>"" <*>"
119,"""GET /projects?domain_id=34662bec8ea945ef80531a632a57954e&xproject_type=shared HTTP/1.1"" 200 2598 RouteID-service-5-0-230209170037-3307",E416,"""GET <*> HTTP/1.<*>"" <*>"
120,can not find cts handler for: /url99,E244,can not find cts handler for: <*>
121,"""GET /url90 HTTP/1.1"" 200 196 RouteID-service-2-0-230209170037-4054",E416,"""GET <*> HTTP/1.<*>"" <*>"
122,"""GET /url-tt HTTP/1.1"" 200 281 RouteID-service-5-0-230209170038-3309",E416,"""GET <*> HTTP/1.<*>"" <*>"
123,can not find cts handler for: /url99,E244,can not find cts handler for: <*>
124,"""GET /url90 HTTP/1.1"" 200 196 RouteID-service-2-0-230209170038-4056",E416,"""GET <*> HTTP/1.<*>"" <*>"
125,"""GET /url-143255 HTTP/1.1"" 204 - RouteID-service-2-0-230209170039-4058",E416,"""GET <*> HTTP/1.<*>"" <*>"
126,no GM hash,E308,no GM hash
127,"Send Msg-->: to 127.0.0.1:2222, path:/trace, method:POST, RequestId:RouteID",E101,"Send Msg-->: to <*> path:<*>, method:POST, RequestId:<*>"
128,"""PUT /core HTTP/1.1"" 200 403 RouteID-service-5-0-230209170039-3312",E282,"""PUT <*> HTTP/1.<*>"" <*>"
129,received response for null,E66,received response for <*>
130,"""GET /url-143255 HTTP/1.1"" 200 78 RouteID-service-2-0-230209170040-4061",E416,"""GET <*> HTTP/1.<*>"" <*>"
131,"add role tag size , 1",E453,"add role tag size , <*>"
132,"internal server error, traceid is -99, requestid is , opname:exportfilehelper.writedata2tmpfile, error code:vapp-00001, error message:export failed, the exporttype is template_hot, filename is 2023_02_12_21_26_39_a8cda2b231f24216b372907242e6628c.zip",E179,"internal server error, traceid is <*> requestid is <*> opname:<*>, error code:<*>, error message:export failed, the exporttype is template_hot, filename is <*>"
133,"run failed, cause:exception.id: systemerror; vapp-00001.",E346,"run failed, cause:exception.id: <*>; <*>."
134,"init model successfully, regiond:global, service:vmwareservice, name:cloud_vmvare_service_instance",E42,"init model successfully, regiond:<*>, service:<*>, name:<*>"
135,"queryalarmobj3bycondition occurs errors! uri = /obj3, msg = exception.id: systemerror; failed to call interface.",E431,queryalarmobj3bycondition occurs errors! uri = <*> msg = exception.id: systemerror; failed to call interface.
136,query alarm occurs error exception.id: app-00329;,E136,query alarm occurs error exception.id: <*>;
137,"init model successfully, regiond:global, service:service, name:name",E42,"init model successfully, regiond:<*>, service:<*>, name:<*>"
138,"queryalarmobj3bycondition occurs errors! uri = /obj3, msg = exception.id: systemerror; failed to call interface.",E431,queryalarmobj3bycondition occurs errors! uri = <*> msg = exception.id: systemerror; failed to call interface.
139,query alarm occurs error exception.id: app-00329;,E136,query alarm occurs error exception.id: <*>;
140,"internal server error, traceid is -99, requestid is , opname: , error code: , error message:=== kafka init error! , exception is Exception",E223,"internal server error, traceid is <*> requestid is <*> opname: <*> error code: <*> error message:=== <*> exception is <*>"
141,"consumerexecutor run error, cause consumer object is null.",E303,"consumerexecutor run error, cause consumer object is null."
142,"internal server error, traceid is -99, requestid is , opname: , error code: , error message:=== kafka init error! , exception is Exception",E223,"internal server error, traceid is <*> requestid is <*> opname: <*> error code: <*> error message:=== <*> exception is <*>"
143,"queryalarmobj3bycondition occurs errors! uri = /obj3, msg = exception.id: systemerror; failed to call interface.",E431,queryalarmobj3bycondition occurs errors! uri = <*> msg = exception.id: systemerror; failed to call interface.
144,query alarm occurs error exception.id: app-00329;,E136,query alarm occurs error exception.id: <*>;
145,end registerkafkafororderexecuteresource,E63,end <*>
146,start registerkafkafororderexecuteresource,E104,start <*>
147,registerkafkafororderexecuteresource Exception occurs.,E396,<*> Exception occurs.
148,end registerkafkaforuserchangenotify,E63,end <*>
149,start registerkafkaforuserchangenotify,E104,start <*>
150,end registermqforupdateepsresourcerules,E63,end <*>
151,start registermqforupdateepsresourcerules,E104,start <*>
152,registerkafkaforuserchangenotify Exception occurs.,E396,<*> Exception occurs.
153,registermqforupdateepsresourcerules Exception occurs.,E396,<*> Exception occurs.
154,"queryalarmobj3bycondition occurs errors! uri = /obj3, msg = exception.id: systemerror; failed to call interface.",E431,queryalarmobj3bycondition occurs errors! uri = <*> msg = exception.id: systemerror; failed to call interface.
155,query alarm occurs error exception.id: app-00329;,E136,query alarm occurs error exception.id: <*>;
156,"failed to get all endpoints, the serviceexception message is exception.id: systemerror; failed to call interface..",E279,"failed to get all endpoints, the serviceexception message is exception.id: <*>; failed to call interface.."
157,"failed to get endpoints from obj4, error is exception.id: systemerror;",E70,failed to get endpoints from <*> error is exception.id: <*>;
158,"queryalarmobj3bycondition occurs errors! uri = /obj3, msg = exception.id: systemerror; failed to call interface.",E431,queryalarmobj3bycondition occurs errors! uri = <*> msg = exception.id: systemerror; failed to call interface.
159,query alarm occurs error exception.id: app-00329;,E136,query alarm occurs error exception.id: <*>;
160,get newest GlobalConfig,E78,get newest <*>
161,start to calculate app business,E207,start to calculate app business
162,page number for business,E324,page number for business
163,start to calculate business for app : jdzJ2E,E21,start to calculate <*> for app : <*>
164,start to query resources.,E419,start to query resources.
165,"get app related resources from redis, appIs:B682D787F9B533619B6CD244858221FC",E403,"get app related resources from redis, appIs:<*>"
166,cache not exists in redis for appId :B682D787F9B533619B6CD244858221FC,E99,cache not exists in redis for appId :<*>
167,"app related resources not cached, appIs:B682D787F9B533619B6CD244858221FC",E150,"app related resources not cached, appIs:<*>"
168,"getStatOfResource cost:183, url:/url453",E321,"getStatOfResource cost:<*>, url:<*>"
169,"get pod size: 0, app is: B682D787F9B533619B6CD244858221FC.",E296,get pod size: <*> app is: <*>.
170,return empty!,E234,return empty!
171,get mid ware appserver size: 0,E254,get mid ware appserver size: <*>
172,"get resource of app finish, appIs:B682D787F9B533619B6CD244858221FC, cost:1798",E438,"get resource of app finish, appIs:<*>, cost:<*>"
173,"save app related resources to redis, appIs:B682D787F9B533619B6CD244858221FC",E245,"save app related resources to redis, appIs:<*>"
174,resource type is empty:,E133,resource type is empty:
175,query resources for app,E370,query resources for app
176,resNums : 0,E304,resNums : <*>
177,start to calculate business for app : jdzJ2E,E21,start to calculate <*> for app : <*>
178,"response code is 400! [url=/url4533], [msg={""exceptionId"":""illegal"", ""exceptionType"":""EXCEPTION"", ""descArgs"":null, ""reasonArgs"":[""DataStore type""], ""detailArgs"":null, ""adviceArgs"":null}]",E165,"response code is <*>! [url=<*>], [msg=<*>]"
179,"sent rest request error!url is:/url4533, dataStoreName: perf-app",E366,"sent rest request error!url is:<*>, dataStoreName: <*>"
180,ent to save business and health for app : jdzJ2E,E340,ent to save business and health for app : <*>
181,end update db!,E129,end update db!
182,start to calculate business for app : QgtM2z,E21,start to calculate <*> for app : <*>
183,start to query resources.,E419,start to query resources.
184,"get app related resources from redis, appIs:6C0505EA13C43C67A35BC9A7DE542785",E403,"get app related resources from redis, appIs:<*>"
185,"get app related resources from redis finish, appIs:6C0505EA13C43C67A35BC9A7DE542785, cost:98",E221,"get app related resources from redis finish, appIs:<*>, cost:<*>"
186,"app related resources cached in redis, appIs:6C0505EA13C43C67A35BC9A7DE542785",E287,"app related resources cached in redis, appIs:<*>"
187,query resources for app,E370,query resources for app
188,resNums : 3,E304,resNums : <*>
189,"response code is 400! [url=/url8], [msg={""exceptionId"":""illegal parameters"", ""exceptionType"":""EXCEPTION"", ""descArgs"":null, ""reasonArgs"":null, ""detailArgs"":null, ""adviceArgs"":null}]",E165,"response code is <*>! [url=<*>], [msg=<*>]"
190,query resource perf metrics from failed,E49,query resource perf metrics from <*>
191,start to calculate health for app : jdzJ2E,E21,start to calculate <*> for app : <*>
192,"get app related resources from redis, appIs:B682D787F9B533619B6CD244858221FC",E403,"get app related resources from redis, appIs:<*>"
193,cache not exists in redis for appId :B682D787F9B533619B6CD244858221FC,E99,cache not exists in redis for appId :<*>
194,"app related resources not cached, appIs:B682D787F9B533619B6CD244858221FC",E150,"app related resources not cached, appIs:<*>"
195,"getStatOfResource cost:256, url:/url453",E321,"getStatOfResource cost:<*>, url:<*>"
196,"response code is 400! [url=/url86], [msg={""exceptionId"":""illegal parameters"", ""exceptionType"":""EXCEPTION"", ""descArgs"":null, ""reasonArgs"":null, ""detailArgs"":null, ""adviceArgs"":null}]",E165,"response code is <*>! [url=<*>], [msg=<*>]"
197,query resource perf metrics from failed,E49,query resource perf metrics from <*>
198,start to calculate business for app : QgtM2z,E21,start to calculate <*> for app : <*>
199,"get pod size: 0, app is: B682D787F9B533619B6CD244858221FC.",E296,get pod size: <*> app is: <*>.
